receiptno,completiontime,details,transactionstatus,paidin,withdrawn,balance
0IQOLD4R41,2023-01-06,Customer Transfer Fuliza to - 070*******317 Deanna Sanchez,COMPLETED,0.0,1308.75,3691.25
LDNPG5T9UP,2023-01-07,Customer Send Money to Micro SME Business received from - 070*******895 Timothy Kelly,COMPLETED,2444.99,0.0,6136.24
N42VSWGO4F,2023-01-10,Customer Transfer of Funds Charge,COMPLETED,0.0,44.56,6091.68
OJ6TLSHI3F,2023-01-11,Term Loan Disbursement - Hustler Fund,COMPLETED,1042.23,0.0,7133.91
TFAS4OGFLZ,2023-01-13,M-Shwari Withdrawal from Account RIAIIODK5DRI,COMPLETED,1287.7,0.0,8421.61
5PPSCR4B5G,2023-01-14,Pay Bill Charge,COMPLETED,0.0,28.2,8393.41
NOJ8GNZ6SU,2023-01-16,Pay Bill Online to 969486 - KPLC PREPAID Acc. 6ZP9G3GXCV0Y,COMPLETED,0.0,1187.22,7206.19
GLYHBV8BOH,2023-01-18,Customer Send Money to Micro SME Business received from - 077*******355 Carlos Collins,COMPLETED,2317.84,0.0,9524.03
LEE3135V8H,2023-01-18,"Customer Withdrawal At Agent Till 596121 - Bruce, Ross and Reyes Agency",COMPLETED,0.0,8369.03,1155.0
JDCLUY69CF,2023-01-19,"Merchant Payment Online to 204907 - Jackson, Watson and Reeves",COMPLETED,0.0,3308.06,-2153.06
V2VMIH33V3,2023-01-21,KCB M-PESA Deposit to Account QCRTWJTUG85L,COMPLETED,0.0,1020.35,-3173.41
1DMEINAVYI,2023-01-21,Customer Payment to Small Business to - 071*******591 KIBANDA KWA NJUGUNA,COMPLETED,0.0,1574.08,-4747.49
P83RDBM811,2023-01-22,Customer Withdrawal At Agent Till 453079 - Jones-Chaney Agency,COMPLETED,0.0,2120.81,-6868.3
FN2IDTG3BJ,2023-01-23,Term Loan Repayment - Hustler Fund,COMPLETED,0.0,1946.43,-8814.73
XOBIHJBK84,2023-01-26,Deposit of Funds at Agent Till 497919 - Jones-Chaney Agency,COMPLETED,1636.98,0.0,-7177.75
H6UV8FT00S,2023-01-26,Data Bundle Purchase - 1GB Daily,COMPLETED,0.0,144.26,-7322.01
W11H6GP0VN,2023-01-26,Funds received from - 070*******029 Glenn Franklin,COMPLETED,4862.6,0.0,-2459.41
